flight/date,flight/status,departure/airport,departure/iata,departure/delay/minutes,departure/scheduled,departure/estimated,departure/actual,arrival/airport,arrival/iata,arrival/scheduled,arrival/delay/minutes,arrival/estimated,arrival/actual,airline/name,airline/iata,airline/icao,flight/number,flight/iata,flight/icao,year,month,day,day/of/week,total/delay/minutes,route,is/delayed
30/07/2022,landed,CARTHAGE,TUN,16,30/07/2022 15:35,30/07/2022 15:51,30/07/2022 15:51,ORLY,ORY,30/07/2022 19:00,7,30/07/2022 19:07,30/07/2022 19:07,Tunisair,TU,TAR,722,TU722,TAR722,,,,,,,
30/07/2022,landed,CARTHAGE,TUN,120,30/07/2022 17:30,,,COTE DAZUR,NCE,30/07/2022 20:00,120,30/07/2022 22:00,30/07/2022 22:00,Tunisair,TU,TAR,998,TU998,TAR998,,,,,,,
30/07/2022,landed,SAINT EXUPERY,LYS,5,30/07/2022 17:30,30/07/2022 17:35,30/07/2022 17:35,CARTHAGE,TUN,30/07/2022 18:20,5,30/07/2022 18:25,30/07/2022 18:25,Tunisair,TU,TAR,851,TU851,TAR851,,,,,,,
30/07/2022,landed,GENEVE COINTRIN,GVA,90,30/07/2022 18:00,30/07/2022 19:30,30/07/2022 19:30,CARTHAGE,TUN,30/07/2022 18:55,80,30/07/2022 20:15,30/07/2022 20:15,Tunisair,TU,TAR,701,TU701,TAR701,,,,,,,
30/07/2022,landed,STANSTED,STN,30,30/07/2022 17:50,30/07/2022 18:20,30/07/2022 18:20,CARTHAGE,TUN,30/07/2022 20:55,21,30/07/2022 21:16,30/07/2022 21:16,Tunisair,TU,TAR,793,TU793,TAR793,,,,,,,
30/07/2022,landed,DUSSELDORF,DUS,,30/07/2022 19:55,,,CARTHAGE,TUN,30/07/2022 21:30,,,,Tunisair,TU,TAR,527,TU527,TAR527,,,,,,,
30/07/2022,landed,COTE DAZUR,NCE,,30/07/2022 21:00,,,CARTHAGE,TUN,30/07/2022 21:35,,,,Tunisair,TU,TAR,999,TU999,TAR999,,,,,,,
30/07/2022,landed,ORLY,ORY,,30/07/2022 20:30,30/07/2022 20:29,30/07/2022 20:29,CARTHAGE,TUN,30/07/2022 21:55,10,30/07/2022 21:45,30/07/2022 21:45,Tunisair,TU,TAR,723,TU723,TAR723,,,,,,,
30/07/2022,active,PIERRE ELLIOTT TRUDEAU INTL,YUL,13,30/07/2022 15:30,30/07/2022 15:43,30/07/2022 15:43,CARTHAGE,TUN,31/07/2022 04:45,,,,Tunisair,TU,TAR,203,TU203,TAR203,,,,,,,
31/07/2022,landed,DUBAI INTL,DXB,0,31/07/2022 08:45,,,CARTHAGE,TUN,31/07/2022 11:55,31,31/07/2022 11:24,31/07/2022 11:24,Tunisair,TU,TAR,147,TU147,TAR147,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,0,31/07/2022 18:55,,,NOUAKCHOTT,NKC,31/07/2022 22:50,0,,,Tunisair,TU,TAR,563,TU563,TAR563,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,0,31/07/2022 22:30,,,MOHAMMED V INTL,CMN,1/8/2022 1:10,0,,,Tunisair,TU,TAR,705,TU705,TAR705,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 6:00,,,ORLY,ORY,1/8/2022 9:20,0,,,Tunisair,TU,TAR,716,TU716,TAR716,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 6:50,,,PROVENCE,MRS,1/8/2022 9:25,0,,,Tunisair,TU,TAR,930,TU930,TAR930,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 7:00,,,COTE DAZUR,NCE,1/8/2022 9:30,0,,,Tunisair,TU,TAR,996,TU996,TAR996,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 7:20,,,MITIGA AIRPORT,MJI,1/8/2022 9:30,0,,,Tunisair,TU,TAR,403,TU403,TAR403,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 7:40,,,ORLY,ORY,1/8/2022 11:05,0,,,Tunisair,TU,TAR,718,TU718,TAR718,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 7:40,,,SAINT EXUPERY,LYS,1/8/2022 10:30,0,,,Tunisair,TU,TAR,750,TU750,TAR750,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 7:55,,,FRANKFURT MAIN,FRA,1/8/2022 11:30,0,,,Tunisair,TU,TAR,744,TU744,TAR744,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 8:00,,,MALPENSA,MXP,1/8/2022 10:45,0,,,Tunisair,TU,TAR,756,TU756,TAR756,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 8:05,,,FIUMICINO,FCO,1/8/2022 10:25,0,,,Tunisair,TU,TAR,752,TU752,TAR752,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 8:15,,,MOHAMMED V INTL,CMN,1/8/2022 10:55,0,,,Tunisair,TU,TAR,711,TU711,TAR711,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,0,1/8/2022 9:35,,,PIERRE ELLIOTT TRUDEAU INTL,YUL,1/8/2022 13:30,0,,,Tunisair,TU,TAR,202,TU202,TAR202,,,,,,,
31/07/2022,landed,QUEEN ALIA INTL,AMM,32,31/07/2022 10:45,31/07/2022 11:17,31/07/2022 11:17,CARTHAGE,TUN,31/07/2022 12:35,25,31/07/2022 13:00,31/07/2022 13:00,Tunisair,TU,TAR,151,TU151,TAR151,,,,,,,
31/07/2022,landed,ORLY,ORY,0,31/07/2022 21:40,,,CARTHAGE,TUN,31/07/2022 23:05,0,,,Tunisair,TU,TAR,721,TU721,TAR721,,,,,,,
31/07/2022,landed,SAINT EXUPERY,LYS,50,31/07/2022 23:20,1/8/2022 0:10,1/8/2022 0:10,CARTHAGE,TUN,1/8/2022 0:15,40,1/8/2022 0:55,,Tunisair,TU,TAR,855,TU855,TAR855,,,,,,,
31/07/2022,landed,BARCELONA,BCN,0,31/07/2022 23:45,,,CARTHAGE,TUN,1/8/2022 0:20,0,,,Tunisair,TU,TAR,515,TU515,TAR515,,,,,,,
31/07/2022,landed,ATATURK,IST,0,31/07/2022 23:45,,,CARTHAGE,TUN,1/8/2022 0:40,0,,,Tunisair,TU,TAR,217,TU217,TAR217,,,,,,,
1/8/2022,landed,BARAJAS,MAD,0,1/8/2022 1:20,,,CARTHAGE,TUN,1/8/2022 2:35,0,,,Tunisair,TU,TAR,607,TU607,TAR607,,,,,,,
1/8/2022,landed,MOHAMMED V INTL,CMN,0,1/8/2022 2:00,,,CARTHAGE,TUN,1/8/2022 4:25,0,,,Tunisair,TU,TAR,706,TU706,TAR706,,,,,,,
31/07/2022,landed,ABIDJAN FELIX HOUPHOUET BOIGNY INTL,ABJ,0,31/07/2022 22:30,,,CARTHAGE,TUN,1/8/2022 4:45,0,,,Tunisair,TU,TAR,397,TU397,TAR397,,,,,,,
31/07/2022,landed,NOUAKCHOTT,NKC,0,31/07/2022 23:50,,,CARTHAGE,TUN,1/8/2022 5:05,0,,,Tunisair,TU,TAR,564,TU564,TAR564,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,40,31/07/2022 12:15,,,HOUARI BOUMEDIENE,ALG,31/07/2022 13:35,40,31/07/2022 14:15,31/07/2022 14:15,Tunisair,TU,TAR,374,TU374,TAR374,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,114,31/07/2022 12:50,31/07/2022 14:44,31/07/2022 14:44,BLAGNAC,TLS,31/07/2022 15:45,0,,,Tunisair,TU,TAR,282,TU282,TAR282,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,57,31/07/2022 12:55,,,COTE DAZUR,NCE,31/07/2022 15:25,57,31/07/2022 16:22,31/07/2022 16:22,Tunisair,TU,TAR,998,TU998,TAR998,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,75,31/07/2022 13:30,31/07/2022 14:45,31/07/2022 14:45,MALPENSA,MXP,31/07/2022 16:15,70,31/07/2022 17:25,31/07/2022 17:25,Tunisair,TU,TAR,856,TU856,TAR856,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,39,31/07/2022 13:45,31/07/2022 14:24,31/07/2022 14:24,QUEEN ALIA INTL,AMM,31/07/2022 19:30,20,31/07/2022 19:50,31/07/2022 19:50,Tunisair,TU,TAR,152,TU152,TAR152,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,140,31/07/2022 13:45,31/07/2022 16:05,,PROVENCE,MRS,31/07/2022 16:20,183,31/07/2022 19:23,31/07/2022 19:23,Tunisair,TU,TAR,902,TU902,TAR902,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,9,31/07/2022 13:55,31/07/2022 14:04,31/07/2022 14:04,DUBAI INTL,DXB,31/07/2022 22:40,17,31/07/2022 22:57,,Tunisair,TU,TAR,148,TU148,TAR148,,,,,,,
