ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
TU722_30_07_2022_14_35,30/07/2022,30/07/2022,TU722,landed,TUN,CARTHAGE,ORY,ORLY,2022-07-30 15:35,14h,2022-07-30 19:00,18h,2022-07-30 15:51,2022-07-30 19:07,2022-07-30 15:51,2022-07-30 19:07,16.0,7.0,TU,FRANCE,TUNISIA
TU998_30_07_2022_16_30,30/07/2022,30/07/2022,TU998,landed,TUN,CARTHAGE,NCE,COTE DAZUR,2022-07-30 17:30,16h,2022-07-30 20:00,21h,,2022-07-30 22:00,,2022-07-30 22:00,120.0,120.0,TU,FRANCE,TUNISIA
TU851_30_07_2022_16_30,30/07/2022,30/07/2022,TU851,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-07-30 17:30,16h,2022-07-30 18:20,17h,2022-07-30 17:35,2022-07-30 18:25,2022-07-30 17:35,2022-07-30 18:25,5.0,5.0,TU,TUNISIA,FRANCE
TU701_30_07_2022_17_00,30/07/2022,30/07/2022,TU701,landed,GVA,GENEVE COINTRIN,TUN,CARTHAGE,2022-07-30 18:00,18h,2022-07-30 18:55,19h,2022-07-30 19:30,2022-07-30 20:15,2022-07-30 19:30,2022-07-30 20:15,90.0,80.0,TU,TUNISIA,SWITZERLAND
TU793_30_07_2022_16_50,30/07/2022,30/07/2022,TU793,landed,STN,STANSTED,TUN,CARTHAGE,2022-07-30 17:50,17h,2022-07-30 20:55,20h,2022-07-30 18:20,2022-07-30 21:16,2022-07-30 18:20,2022-07-30 21:16,30.0,21.0,TU,TUNISIA,UNITED KINGDOM
TU527_30_07_2022_18_55,30/07/2022,30/07/2022,TU527,landed,DUS,DUSSELDORF,TUN,CARTHAGE,2022-07-30 19:55,18h,2022-07-30 21:30,20h,,,,,,,TU,TUNISIA,GERMANY
TU999_30_07_2022_20_00,30/07/2022,30/07/2022,TU999,landed,NCE,COTE DAZUR,TUN,CARTHAGE,2022-07-30 21:00,20h,2022-07-30 21:35,20h,,,,,,,TU,TUNISIA,FRANCE
TU723_30_07_2022_19_30,30/07/2022,30/07/2022,TU723,landed,ORY,ORLY,TUN,CARTHAGE,2022-07-30 20:30,19h,2022-07-30 21:55,20h,2022-07-30 20:29,2022-07-30 21:45,2022-07-30 20:29,2022-07-30 21:45,,10.0,TU,TUNISIA,FRANCE
TU203_30_07_2022_14_30,30/07/2022,30/07/2022,TU203,active,YUL,PIERRE ELLIOTT TRUDEAU INTL,TUN,CARTHAGE,2022-07-30 15:30,14h,2022-07-31 04:45,03h,2022-07-30 15:43,,2022-07-30 15:43,,13.0,,TU,TUNISIA,CANADA
TU147_31_07_2022_07_45,31/07/2022,31/07/2022,TU147,landed,DXB,DUBAI INTL,TUN,CARTHAGE,2022-07-31 08:45,07h,2022-07-31 11:55,10h,,2022-07-31 11:24,,2022-07-31 11:24,0.0,31.0,TU,TUNISIA,UNITED ARAB EMIRATES
TU563_31_07_2022_17_55,31/07/2022,31/07/2022,TU563,landed,TUN,CARTHAGE,NKC,NOUAKCHOTT,2022-07-31 18:55,17h,2022-07-31 22:50,21h,,,,,0.0,0.0,TU,MAURITANIA,TUNISIA
TU705_31_07_2022_21_30,31/07/2022,01/08/2022,TU705,landed,TUN,CARTHAGE,CMN,MOHAMMED V INTL,2022-07-31 22:30,21h,2022-08-01 01:10,00h,,,,,0.0,0.0,TU,MOROCCO,TUNISIA
TU716_01_08_2022_05_00,01/08/2022,01/08/2022,TU716,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-01 06:00,05h,2022-08-01 09:20,08h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU930_01_08_2022_05_50,01/08/2022,01/08/2022,TU930,landed,TUN,CARTHAGE,MRS,PROVENCE,2022-08-01 06:50,05h,2022-08-01 09:25,08h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU996_01_08_2022_06_00,01/08/2022,01/08/2022,TU996,landed,TUN,CARTHAGE,NCE,COTE DAZUR,2022-08-01 07:00,06h,2022-08-01 09:30,08h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU403_01_08_2022_06_20,01/08/2022,01/08/2022,TU403,landed,TUN,CARTHAGE,MJI,MITIGA AIRPORT,2022-08-01 07:20,06h,2022-08-01 09:30,08h,,,,,0.0,0.0,TU,LIBYA,TUNISIA
TU718_01_08_2022_06_40,01/08/2022,01/08/2022,TU718,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-01 07:40,06h,2022-08-01 11:05,10h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU750_01_08_2022_06_40,01/08/2022,01/08/2022,TU750,landed,TUN,CARTHAGE,LYS,SAINT EXUPERY,2022-08-01 07:40,06h,2022-08-01 10:30,09h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU744_01_08_2022_06_55,01/08/2022,01/08/2022,TU744,landed,TUN,CARTHAGE,FRA,FRANKFURT MAIN,2022-08-01 07:55,06h,2022-08-01 11:30,10h,,,,,0.0,0.0,TU,GERMANY,TUNISIA
TU756_01_08_2022_07_00,01/08/2022,01/08/2022,TU756,landed,TUN,CARTHAGE,MXP,MALPENSA,2022-08-01 08:00,07h,2022-08-01 10:45,09h,,,,,0.0,0.0,TU,ITALY,TUNISIA
TU752_01_08_2022_07_05,01/08/2022,01/08/2022,TU752,landed,TUN,CARTHAGE,FCO,FIUMICINO,2022-08-01 08:05,07h,2022-08-01 10:25,09h,,,,,0.0,0.0,TU,ITALY,TUNISIA
TU711_01_08_2022_07_15,01/08/2022,01/08/2022,TU711,landed,TUN,CARTHAGE,CMN,MOHAMMED V INTL,2022-08-01 08:15,07h,2022-08-01 10:55,09h,,,,,0.0,0.0,TU,MOROCCO,TUNISIA
TU202_01_08_2022_08_35,01/08/2022,01/08/2022,TU202,landed,TUN,CARTHAGE,YUL,PIERRE ELLIOTT TRUDEAU INTL,2022-08-01 09:35,08h,2022-08-01 13:30,12h,,,,,0.0,0.0,TU,CANADA,TUNISIA
TU151_31_07_2022_09_45,31/07/2022,31/07/2022,TU151,landed,AMM,QUEEN ALIA INTL,TUN,CARTHAGE,2022-07-31 10:45,10h,2022-07-31 12:35,12h,2022-07-31 11:17,2022-07-31 13:00,2022-07-31 11:17,2022-07-31 13:00,32.0,25.0,TU,TUNISIA,JORDAN
